category,keyword,headline,body,press,url,crawled_at
복지지원사업,장애인 지원 서울,"서울시, 장애인직업재활시설·재가노인지원센터 AI 지원",서울시복지재단이 사회복지시설 역량 강화와 서비스 품질 향상을 위해 '2026년 사회복지시설 맞춤형 컨설팅'을 시작한다고 20일 밝혔다. 올해는 2025년 사회복지시설 평가를 받은 장애인직업재활시설과 재가노인지원서비스센터를 대상으로 컨설팅을 제공한다. 재단은 복지 현장 디지털 전환 추세를 반영해...,뉴시스,https://n.news.naver.com/mnews/article/003/0014074753?sid=102,2026-07-27 16:52:30
복지지원사업,장애인 지원 서울,"무신사, 맞춤형 정형신발 지원 사업 확대",겪는 장애인 대상 정형신발 제작 지원 사업을 진행하고 있다. 무브 프로젝트는 취약계층 및 이동약자의 실질적인 이동권을 보장하고 복지 사각지대를... 지난 4월 모집을 시작한 1차 사업에서는 ▲서울 ▲경기 ▲인천 등 수도권 전역에서 성장기 청소년부터 장년층에 이르는 다양한 연령대의 대상자 10명이 최종...,지디넷코리아,https://n.news.naver.com/mnews/article/092/0002430679?sid=105,2026-07-27 16:52:35
복지지원사업,장애인 지원 서울,"데상트코리아, 시각장애인 스포츠 지원에 1억5000만원 기부",데상트코리아가 시각장애인의 스포츠 활동 지원을 위해 서울시각장애인스포츠연맹에 기부금 1억5000만원을 전달했다고 10일 밝혔다. 이번 기부는 데상트코리아가 공동 주관·후원한 '제12회 시각장애인과 함께하는 어울림마라톤'을 마친 뒤 시각 스포츠 을 위한 후속 사회공헌 활동의 일환으로...,뉴시스,https://n.news.naver.com/mnews/article/003/0014058184?sid=101,2026-07-27 16:52:36
복지지원사업,장애인 지원 서울,장애인·임산부 'QR코드' 찍으면 셀프주유소도 직원이 나와 주유,"서울시·4대 정유사, '이동약자 주유 서비스' 내달 146곳으로 확대 장애인이나 임산부 등 이동약자가 서울 시내 셀프주유소에서 QR코드로 직원을... 주유 지원을 받을 수 있다. 현재 서울 시내 주유소 390곳 가운데 셀프주유소는 275곳으로 70.5%를 차지한다. 다음 달 확대가 끝나면 전체 셀프주유소의 53.1%에서...",연합뉴스,https://n.news.naver.com/mnews/article/001/0016195698?sid=102,2026-07-27 16:52:41
복지지원사업,장애인 지원 서울,"서울경찰, 퇴직공무원 활용 '관계성범죄 모니터링 지원단' 확대","지난달 사업 운영 이후 현재까지 우선 모니터링 238건과 아동·노인·장애인 등 고위험 가구(시설) 합동 방문 23건을 실시했다. 관악경찰서에서는 교제폭력... 등 지원 사례도 있었다. 서울경찰청 관계자는 ""지원단 활동이 관계성 범죄 피해자 사후관리의 사각지대를 해소하고 현장 경찰의 업무 부담을 줄이는 데...",연합뉴스,https://n.news.naver.com/mnews/article/001/0016195929?sid=102,2026-07-27 16:52:56
복지지원사업,장애인 지원 서울,"장애인·비장애인 함께 탄다… 서울시, '유니버설디자인 택시' 도입","28일 서울시는 장애인 이동지원 서비스와 일반 택시 영업을 결합한 '유니버설디자인(Universal Design) 택시'를 7월 1일부터 시범 운영한다고 밝혔다. 2026년 4월 기준 서울의 65세 이상 고령인구는 약 194만명으로, 전체 인구의 20.3%를 차지하고 있다. 또한 바우처택시 이용건수는 2022년 48만건에서 2025년...",아시아경제,https://n.news.naver.com/mnews/article/277/0005782290?sid=102,2026-07-27 16:53:13
복지지원사업,장애인 지원 서울,"[게시판] 우리금융, 발달장애인 자립 지원 '굿윌스토어 밀알신길점' 개...",▲ 우리금융그룹 우리금융미래재단은 지난 26일 밀알복지재단과 함께 서울 영등포구 신길동에 발달장애인 자립 지원 매장인 '굿윌스토어 밀알신길점'을 개점했다고 28일 밝혔다. 굿윌스토어는 기업과 개인이 기부한 물품을 판매한 수익으로 발달을 고용하는 근로사업장이다. 밀알신길점은...,연합뉴스,https://n.news.naver.com/mnews/article/001/0016162998?sid=101,2026-07-27 16:53:14
복지지원사업,장애인 지원 서울,"서울시 장애인 소형버스, 충청·강원권도 달린다","현재 서울장애인버스는 서울 시내 주요 명소를 둘러보는 '서울 시티투어'와 명절 연휴 전 수도권 내 장사시설을 미리 방문할 수 있도록 지원하는 '사전 성묘 지원' 프로그램도 운영하고 있다. 한국영 서울시설공단 이사장은 ""이번 운영 기준 개선은 휠체어를 이용하는 의 이동 반경을 수도권에서 전국...",뉴시스,https://n.news.naver.com/mnews/article/003/0014044190?sid=102,2026-07-27 16:53:14
복지지원사업,장애인 지원 서울,"'휠체어농구 고교 맛집' 장곡고, 제2회 코웨이컵 우승! '서울림 에이스...","코웨이컵은 코웨이와 서울시장애인체육회, 서울시장애인농구협회가 공동 주최·주관하는 청소년 통합스포츠 체험의 장이다. 올해는 지난해보다... 코웨이는 이번 대회를 위해 각 학교에 휠체어농구 교실 프로그램을 지원하고 리그 2연패에 빛나는 '코웨이 블루휠스' 에이스들이 지도와 심판, 대회 운영에...",스포츠조선,https://m.sports.naver.com/basketball/article/076/0004425285,2026-07-27 16:53:23
복지지원사업,장애인 지원 서울,"[시대진단]장애인 이동권 시위 25년, 무엇이 달라졌나","평균 배차 대기시간은 30분대로, 일부 1~2시간으로 늘어난 것은 콜택시 수요가 한 번에 몰리거나 출퇴근 시간 차량 정체 때문이라고 서울시는 반박한다. 정부는 장애인 콜택시 사업이 지자체 소관으로, 인건비 지원은 불가하다는 입장이다. 시외·고속버스 : ""휠체어석 설치 불가"" vs ""우리에겐 없는 교통수단...",동행미디어 시대,https://n.news.naver.com/mnews/article/417/0001151454?sid=102,2026-07-27 16:53:23
복지지원사업,장애인 지원 서울,"""장애인 반, 비장애인 반. 그런 세상을 꿈꿔요""","앞으로 후원자도 더 생기고, 서울시의 지원도 생겨서 우리에게 힘이 되면 좋겠어요."" ▲ 참정권 문제, 사직동주민센터에서 ⓒ 박연지 발달장애인의 참정권과 자기결정권 - 센터 상황이 어려워졌지만, 동료들은 예전과 다름없이 활동에 힘쓰고 있는 것 같아요. 요즘 연지가 가장 관심을 기울이고 신경을 써온...",오마이뉴스,https://n.news.naver.com/mnews/article/047/0002522748?sid=102,2026-07-27 16:53:24
복지지원사업,장애인 지원 서울,"동대문구, 장애인 친화미용실…총 7곳 확대",서울 동대문구는 14일 신규 장애인 친화미용실 3곳과 업무협약을 체결했다고 밝혔다. 장애인이 생활권 가까이에서 편리하게 이미용 서비스를 이용할 수 있도록 지원하는 등 지역사회와 함께하는 장애인복지를 확대하기 위해서다. 신규 미용실 3곳을 새롭게 지정하면서 구에서 운영하는 친화미용실은 기존...,서울신문,https://n.news.naver.com/mnews/article/081/0003661139?sid=102,2026-07-27 16:53:24
복지지원사업,장애인 지원 서울,"GH, 한국장애인개발원 일자리 지원","경기주택도시공사는 서울 영등포 한국장애인개발원에서 중증장애인생산품 판로 확대와 장애인 일자리 창출·지원을 위해 한국장애인개발원과 업무협약(MOU)을 체결했다고 30일 밝혔다. 협약에 따라 부지조성, 건축 등 개발사업 과정에 필요한 건설 자재와 안전용품은 물론 시설관리 용역에도 중증생산품...",헤럴드경제,https://n.news.naver.com/mnews/article/016/0002663322?sid=100,2026-07-27 16:53:24
복지지원사업,장애인 지원 서울,"데상트코리아, 서울시각장애인스포츠연맹에 1억 5천만원 기부","데상트코리아가 시각장애인의 스포츠 활동 지원을 위해 서울시각장애인스포츠연맹에 기부금 1억 5000만 원을 전달했다고 10일 밝혔다. 이번 기부는 데상트코리아가 공동 주관·후원사로 참여한 '제12회 시각장애인과 함께하는 어울림마라톤'을 지난달 13일 마치고, 시각 스포츠 을 위한 실질적...",뉴스1,https://n.news.naver.com/mnews/article/421/0009051800?sid=101,2026-07-27 16:53:35
복지지원사업,장애인 지원 서울,"서울 노원구, 장애인 가족과 함께 하는 '꿀잼' 워터파크[경향포토]","20일 서울 노원구 노원기차마을 일대에서 운영 중인 '2026 꿀잼 워터파크'에서 관내 장애인들이 물놀이를 즐기고 있다. 노원구는 물놀이장 휴장일인 이날 장애인과 가족, 활동지원사 등 400여 명을 초청했다. 지난 16일 개장한 워터파크는 오는 8월16일까지, 오전 10시부터...",경향신문,https://n.news.naver.com/mnews/article/032/0003459220?sid=102,2026-07-27 16:53:47
복지지원사업,장애인 지원 서울,"무신사, 이동약자 ‘맞춤형 정형신발’ 지원 대상 2배 확대","지원 대상은 선·후천적 발 기능 장애나 변형 등으로 기성 신발 착용이 어려운 장애인이다. 정형신발은 개인별 발 상태를 정밀 측정해 수작업으로 제작된다. 무신사는 사업 재원을 전액 지원하고, 본사가 있는 서울 성동구 성수동 수제화거리의 정형신발 전문 제조업체 ‘하람공방’과 협력해 맞춤형 신발을...",조선비즈,https://n.news.naver.com/mnews/article/366/0001179246?sid=101,2026-07-27 16:53:47
